,class,prec,reca,F1,F1_g_tt_p,mean_F1_gp,mean_F1_wt,p_g_tt_p,r_g_tt_p
0,classifier29,0.8984615384615384,0.8841786525359576,0.8912628767645936,0.8405739175658924,0.8916921848441477,0.8853494853973359,0.09105310506309572,0.10692002730393649
0,classifier3,0.5745489078822412,0.9159727479182438,0.706156988619784,0.0009450363100510775,0.6440386477787958,0.8001577917952437,0.0037983227807667315,0.22318682448994145
0,classifier30,0.9017651573292402,0.8894776684330054,0.8955792682926829,0.8272558239897911,0.8964950343811828,0.8903497949621351,0.10248949466593374,0.08589529640205155
0,classifier31,0.915079365079365,0.8728236184708554,0.8934521503293298,0.6030903423985705,0.898349903595409,0.881848919304138,0.13632930865128673,0.08908213191714119
0,classifier32,0.888065233506301,0.906888720666162,0.8973782771535581,0.4621113201776106,0.8862064752647733,0.9076197143234597,0.04008035791353887,0.17407862464959725
0,classifier33,0.9176658673061551,0.8690386071158214,0.8926905132192847,0.840301301907233,0.8927968598715665,0.8876288384512684,0.0830587915957204,0.09923325310801394
0,classifier34,0.922077922077922,0.8599545798637396,0.889933411672542,0.5938065076910928,0.8946276808886646,0.8783810585549716,0.1682173020659045,0.1178682831450503
0,classifier35,0.9192897497982244,0.8622255866767601,0.88984375,0.5860973157890922,0.8953657730183864,0.8774064652753168,0.18644899456701738,0.13949931862687925
0,classifier36,0.9091614906832298,0.886449659348978,0.8976619394403985,0.5389634996277678,0.9027877895388683,0.8865229876982212,0.1588227373915237,0.07100735797660328
0,classifier37,0.8798219584569733,0.8978046934140802,0.8887223679280629,0.9169378359611384,0.885557148814631,0.8883005674670479,0.08331236980511968,0.07178169415677696
0,classifier38,0.8813186813186813,0.9106737320211961,0.8957557706626954,0.9403744757952925,0.8929969412809028,0.8951960522553719,0.07895109639247863,0.08816679041383615
0,classifier39,0.8918106686701728,0.898561695685087,0.8951734539969834,0.9363051678033432,0.8924603457475611,0.8944729399042556,0.07022702497634631,0.09006634587760876
0,classifier4,0.46541574687270054,0.9576078728236185,0.62639267145333,0.002418121159453576,0.5482749234612607,0.7586144919357558,0.007769096471265994,0.3599009889071147
0,classifier40,0.8945783132530121,0.8993186979560939,0.8969422423556059,0.9141173664964949,0.8958315532464531,0.8928269470522208,0.07961282081060592,0.07744474839991411
0,classifier41,0.8953399541634836,0.8872066616199848,0.891254752851711,0.9319016302013186,0.8899826811633152,0.8876185136932182,0.07763824490629757,0.09787507224138575
0,classifier42,0.9003091190108191,0.8819076457229371,0.8910133843212236,0.7117623117878499,0.89333302931785,0.8828912771527675,0.10618057210513468,0.08573910242269538
0,classifier43,0.9123222748815166,0.874337623012869,0.8929261693080788,0.46743809041967377,0.8991027216207828,0.879574965149058,0.17155667699875915,0.08609457343375299
0,classifier5,0.770949720670391,0.9401968205904617,0.8472032742155524,0.03989629213326478,0.8125734378211422,0.8902536824428552,0.004903903095741728,0.16772653207639168
0,classifier6,0.8394975575715282,0.9106737320211961,0.8736383442265795,0.2358802104730411,0.8564092083131654,0.8912050483794065,0.017783051085915772,0.20765061610417537
0,classifier7,0.77455919395466,0.93111279333838,0.8456514266070816,0.03607210302741036,0.8153118100732856,0.8840973931262127,0.005779481926782247,0.1792196400938958
0,classifier8,0.8995433789954338,0.894776684330053,0.8971537001897534,0.7818005331423821,0.8922146059392846,0.8993989438012523,0.05507156182616367,0.17674943733895115
0,classifier9,0.9298545765611634,0.8228614685844058,0.8730923694779117,0.6644003495918762,0.877178099787715,0.8601631347475234,0.2740400489628339,0.29281291711452345
