Label,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
37_y.png,1,575,575,0.02994792,255,255,173.3797302,30.73522949,23.81998634,146.5955658,0.24037045,0.58168942,47.20169449,1284,355,126.3843536,33.40322495,146625,255,NaN,NaN
Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar19bS2C1R1_LHl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar20bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar23bS1C5R2_DMr_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar26bS2C1R1_LHr_200x_y.png,1,597,597,0.03109375,255,255,142.2670288,39.06010818,19.4603653,136.4754944,0.37065998,0.62875199,45.65084839,984,1067,151.189209,27.70625687,152235,255,NaN,NaN
Mar27bS1C2R2_LHr_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,23,17073,742.3043478,0.88921875,255,255,153.8125173,46.24551533,20.76905843,76.92202337,0.41897446,0.75993497,52.96461387,1028.173913,504.173913,76.07836535,26.33843704,189287.6087,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,8,5686,710.75,0.29614583,255,255,141.0651245,41.1682229,22.02859759,113.4072467,0.47087063,0.77072965,46.84241486,1262,717.75,109.2969889,27.76531553,181241.25,255,NaN,NaN
37_y.png,8,5450,681.25,0.28385417,255,255,198.8472385,57.37568712,17.17730713,96.30496757,0.26155352,0.62219245,65.88185978,1128,596.5,96.88381958,24.09549117,173718.75,255,NaN,NaN
Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar19bS2C1R1_LHl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar20bS1C1R3_VLPAGl_200x_y.png,1,584,584,0.03041667,255,255,125.6812439,45.94808197,16.18287086,61.14520645,0.46460277,0.82602549,47.20169449,997,951,53.61564636,19.20045662,148920,255,NaN,NaN
Mar23bS1C1R4_VLPAGl_200x_y.png,4,2903,725.75,0.15119792,255,255,263.3876114,47.95639801,20.35633469,84.09722948,0.15829664,0.5071388,61.75707817,1384.75,143,84.01039314,32.61622763,185066.25,255,NaN,NaN
Mar23bS1C5R2_DMr_200x_y.png,1,538,538,0.02802083,255,255,141.9238892,39.66951752,17.26774025,150.6369019,0.33564577,0.75297409,44.3846817,649,1024,157.4794312,20.84920883,137190,255,NaN,NaN
Mar26bS2C1R1_LHr_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar27bS1C2R2_LHr_200x_y.png,4,2770,692.5,0.14427083,255,255,193.1579056,46.81486797,19.79609275,106.6551386,0.27221613,0.64686219,55.8726387,954.5,347,64.36783457,26.52786207,176587.5,255,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,24,17322,721.75,0.9021875,255,255,157.7829358,41.37314924,22.35815056,83.2670802,0.38548213,0.73670231,48.43721628,1049.166667,520.375,82.52698612,27.58170048,184046.25,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,8,5905,738.125,0.30755208,255,255,141.7899981,39.93895507,23.58910513,97.42554277,0.49318345,0.78036915,45.00611019,1268.625,847.375,116.8015285,28.94999266,188221.875,255,NaN,NaN
37_y.png,9,5913,657,0.30796875,255,255,192.2258606,57.17118963,16.41371123,97.7809642,0.2496811,0.62298726,64.3607076,1123.666667,534.4444444,98.29733107,23.16811668,167535,255,NaN,NaN
Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar19bS2C1R1_LHl_200x_y.png,1,688,688,0.03583333,255,255,220.2497864,35.14316559,24.92629242,77.08857727,0.17822446,0.5231939,47.16990662,1495,398,68.87528229,37.50570679,175440,255,NaN,NaN
Mar20bS1C1R3_VLPAGl_200x_y.png,1,587,587,0.03057292,255,255,150.6518097,43.56761932,17.15475082,56.54198837,0.32501191,0.69099468,47.80167389,997,952,52.65065002,24.19897079,149685,255,NaN,NaN
Mar23bS1C1R4_VLPAGl_200x_y.png,5,3447,689.4,0.17953125,255,255,251.5517181,45.62384491,20.24879761,77.24053154,0.1593814,0.47784627,61.18035965,1410.6,169.6,72.73248539,33.27479019,175797,255,NaN,NaN
Mar23bS1C5R2_DMr_200x_y.png,1,531,531,0.02765625,255,255,126.1248932,41.33182526,16.35761833,151.268692,0.4194718,0.75911367,44.28318024,649,1024,154.5922852,20.25852776,135405,255,NaN,NaN
Mar26bS2C1R1_LHr_200x_y.png,1,691,691,0.03598958,255,255,165.4802246,38.26873016,22.99027252,113.0134049,0.3170996,0.57368201,50.69516754,1095,601,112.0112839,35.35533905,176205,255,NaN,NaN
Mar27bS1C2R2_LHr_200x_y.png,6,4219,703.1666667,0.21973958,255,255,185.2416509,43.887441,20.83931653,105.806096,0.27967988,0.64787446,55.44214376,848.8333333,559.5,104.1465562,28.13139184,179307.5,255,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,24,17696,737.3333333,0.92166667,255,255,164.6584457,42.52355623,22.24653383,82.97188224,0.36924509,0.71440263,50.88360993,1060.5,552.4166667,67.53644403,28.20543838,188020,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,9,6066,674,0.3159375,255,255,133.8291245,37.71713448,22.96853383,101.3106213,0.50338321,0.77247994,42.98681916,1230.111111,877.5555556,106.8682512,27.83213276,171870,255,NaN,NaN
37_y.png,6,4103,683.8333333,0.21369792,255,255,188.8274434,56.16075198,17.54618263,100.4934478,0.2709641,0.649805,62.78634389,1039,617.6666667,101.4271348,24.69211102,174377.5,255,NaN,NaN
Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar19bS2C1R1_LHl_200x_y.png,1,638,638,0.03322917,255,255,201.0365753,33.81876755,24.02000237,77.98803711,0.19837199,0.55381942,46.17358398,1497,398,72.3498764,34.23427582,162690,255,NaN,NaN
Mar20bS1C1R3_VLPAGl_200x_y.png,1,636,636,0.033125,255,255,149.8233795,44.38451004,18.24466133,56.52931595,0.35604739,0.72231686,47.01063538,998,951,51.91122818,25.27451897,162180,255,NaN,NaN
Mar23bS1C1R4_VLPAGl_200x_y.png,4,2838,709.5,0.1478125,255,255,244.8312607,47.25967884,20.30261159,72.97142935,0.16921138,0.51451222,60.23425388,1429.75,183,73.49910069,31.11937094,180922.5,255,NaN,NaN
Mar23bS1C5R2_DMr_200x_y.png,1,557,557,0.02901042,255,255,126.2670288,39.88441467,17.78124237,150.7252808,0.43902084,0.78175437,43.65776062,648,1026,159.9047699,21.08123398,142035,255,NaN,NaN
Mar26bS2C1R1_LHr_200x_y.png,1,665,665,0.03463542,255,255,158.9949493,37.20831299,22.75578308,114.0227814,0.33057109,0.5892778,48.84669876,1095,602,112.8905487,34.38347626,169575,255,NaN,NaN
Mar27bS1C2R2_LHr_200x_y.png,6,3919,653.1666667,0.20411458,255,255,160.0284526,40.59762319,20.95004559,120.1736964,0.32173964,0.6659186,49.69999504,850.3333333,563,111.4275729,28.19235897,166557.5,255,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,23,16621,722.6521739,0.86567708,255,255,160.1053477,41.54351508,22.37906925,75.53638342,0.37648457,0.71639971,49.09268122,1064.869565,538.9130435,75.9234887,28.54869776,184276.3043,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,10,7150,715,0.37239583,255,255,139.9741348,38.46195869,23.80944061,107.039369,0.48859161,0.76342037,44.88867416,1253.7,865,112.1257286,29.46737251,182325,255,NaN,NaN
37_y.png,7,4469,638.4285714,0.23276042,255,255,169.4336722,51.18135234,17.47086702,101.3002227,0.30074179,0.67697772,57.74006217,1031.428571,528.7142857,101.6845969,24.02423559,162799.2857,255,NaN,NaN
Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar19bS2C1R1_LHl_200x_y.png,1,602,602,0.03135417,255,255,197.8650055,33.31956863,23.0042057,81.16889191,0.19322725,0.52461874,45.60701752,1498,398,74.74488068,33.62497711,153510,255,NaN,NaN
Mar20bS1C1R3_VLPAGl_200x_y.png,1,613,613,0.03192708,255,255,124.2670288,45.90718079,17.00160789,60.44456482,0.49883685,0.82670265,46.40043259,998,951,52.88314056,20.41048241,156315,255,NaN,NaN
Mar23bS1C1R4_VLPAGl_200x_y.png,1,515,515,0.02682292,255,255,148.9949493,35.62301636,18.40715408,20.61910248,0.29152378,0.60695344,43.737854,1551,293,10.53918362,24.90995026,131325,255,NaN,NaN
Mar23bS1C5R2_DMr_200x_y.png,1,527,527,0.02744792,255,255,119.7817459,38.42038727,17.46461296,150.5471039,0.46157172,0.81515855,42.05948257,649,1024,151.6069794,20.57182503,134385,255,NaN,NaN
Mar26bS2C1R1_LHr_200x_y.png,2,1603,801.5,0.08348958,255,255,189.572113,41.65330887,24.3947916,127.4350243,0.28778705,0.58371541,53.12002182,1037,835.5,135.7537155,36.78769875,204382.5,255,NaN,NaN
Mar27bS1C2R2_LHr_200x_y.png,5,3368,673.6,0.17541667,255,255,151.12388,41.97627106,20.98430691,140.9787018,0.37474879,0.70424114,48.70393448,817.4,584.4,134.295108,27.93973999,171768,255,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,28,19756,705.5714286,1.02895833,255,255,152.2854849,41.98577186,21.60245725,70.55344383,0.40531497,0.73818785,48.55630248,1087.892857,530,69.61895662,27.42605938,179920.7143,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,9,5967,663,0.31078125,255,255,129.2340851,38.37454414,22.32896614,100.7355545,0.52039968,0.78922484,42.81282806,1229.111111,870.8888889,123.5801273,27.06016583,169065,255,NaN,NaN
37_y.png,4,2087,521.75,0.10869792,255,255,163.8589115,38.7882247,18.19897819,147.0242462,0.28339249,0.65844367,48.10219955,1276,440.5,143.6698265,24.8738482,133046.25,255,NaN,NaN
Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar19bS2C1R1_LHl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar20bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar23bS1C1R4_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar23bS1C5R2_DMr_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar26bS2C1R1_LHr_200x_y.png,2,1263,631.5,0.06578125,255,255,159.8233719,38.91408539,20.64321423,125.2999954,0.31376469,0.58532822,49.58154678,1038,837,135.3268585,30.61740685,161032.5,255,NaN,NaN
Mar27bS1C2R2_LHr_200x_y.png,3,1733,577.6666667,0.09026042,255,255,128.0440114,42.96540705,17.33615239,137.5430145,0.47671913,0.75308351,46.04524994,866,691.3333333,131.5699844,22.13024076,147305,255,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,23,16208,704.6956522,0.84416667,255,255,150.129445,45.3002603,20.17039262,73.86846638,0.4282595,0.75084194,51.52271171,1048.73913,506.4347826,78.84700904,25.54973337,179697.3913,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,7,4948,706.8571429,0.25770833,255,255,134.9449071,43.48940168,20.60175323,107.1772385,0.48913451,0.78296577,48.31621552,1248,773,105.9919221,25.7431894,180248.5714,255,NaN,NaN
37_y.png,6,4287,714.5,0.22328125,255,255,195.0169576,48.59050973,19.43590117,109.8346733,0.300214,0.66412206,56.60790952,969.1666667,450,109.1664874,27.55564849,182197.5,255,NaN,NaN
Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar19bS2C1R1_LHl_200x_y.png,2,1349,674.5,0.07026042,255,255,205.5929337,36.83205986,23.32390308,125.9606438,0.22783347,0.65905482,45.97062874,900,217.5,122.6162224,31.94910431,171997.5,255,NaN,NaN
Mar20bS1C1R3_VLPAGl_200x_y.png,1,504,504,0.02625,255,255,148.1665192,36.41326904,17.62304497,53.67730331,0.28849629,0.68246448,39.96248245,1004,949,58.29856873,24.74873734,128520,255,NaN,NaN
Mar23bS1C1R4_VLPAGl_200x_y.png,3,1568,522.6666667,0.08166667,255,255,158.3756612,35.43416723,19.41236146,89.24168078,0.26445133,0.61272045,44.08104197,1479.666667,221,78.21131261,27.25714238,133280,255,NaN,NaN
Mar23bS1C5R2_DMr_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar26bS2C1R1_LHr_200x_y.png,2,1504,752,0.07833333,255,255,203.693428,41.42721176,23.11881351,126.5175133,0.22824622,0.55483431,52.80624962,1039.5,835,132.0772324,35.02116013,191760,255,NaN,NaN
Mar27bS1C2R2_LHr_200x_y.png,11,7922,720.1818182,0.41260417,255,255,195.5401341,45.40804187,20.37148398,107.7430488,0.28833483,0.66277121,55.68675232,917.5454546,478.5454546,108.5255093,27.91745931,183646.3636,255,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,33,22798,690.8484849,1.18739583,255,255,150.3757516,41.69159363,21.30349229,66.96210973,0.42117487,0.75603029,47.62014574,1086,511.6363636,65.07144098,26.51790931,176166.3636,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,8,5624,703,0.29291667,255,255,135.431242,40.15277004,22.37146282,111.4124137,0.50342751,0.78373835,44.21333694,1242.5,836.375,114.8481853,28.01901889,179265,255,NaN,NaN
37_y.png,9,6310,701.1111111,0.32864583,255,255,219.7922592,46.11005868,20.26205805,98.38356664,0.23627001,0.60397218,57.15246879,1081.888889,436.5555556,98.76811239,28.76237233,178783.3333,255,NaN,NaN
Mar19bS1C1R3_VLPAGl_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar19bS2C1R1_LHl_200x_y.png,2,1326,663,0.0690625,255,255,207.8355637,35.84947777,23.4540844,125.8272095,0.23107765,0.67288211,43.44650269,902,217,121.4094467,31.27072239,169065,255,NaN,NaN
Mar20bS1C1R3_VLPAGl_200x_y.png,1,509,509,0.02651042,255,255,153.9238892,36.85182571,17.58607292,54.90247726,0.26997009,0.6692965,43.0464859,1000,950,59.26451111,25.20000076,129795,255,NaN,NaN
Mar23bS1C1R4_VLPAGl_200x_y.png,2,1174,587,0.06114583,255,255,213.3502884,59.41996384,13.17435789,110.1010552,0.17008347,0.49049482,67.27783775,1354.5,39,100.9093056,21.78212738,149685,255,NaN,NaN
Mar23bS1C5R2_DMr_200x_y.png,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mar26bS2C1R1_LHr_200x_y.png,2,1478,739,0.07697917,255,255,195.8147507,40.71372223,23.10413361,126.3702354,0.24338403,0.56163186,52.72973061,1035.5,837,154.5874176,34.91904831,188445,255,NaN,NaN
Mar27bS1C2R2_LHr_200x_y.png,10,6643,664.3,0.34598958,255,255,181.5596268,42.72526321,20.10068598,113.8329679,0.3162348,0.6876819,50.88515816,860.3,472.1,113.964979,27.07520618,169396.5,255,NaN,NaN
MAR38S1C3R1_DMR_20_o.png,29,20831,718.3103448,1.08494792,255,255,157.9457626,44.46661601,21.053782,68.29713867,0.3952557,0.74632607,50.90795714,1075.068966,526.7586207,68.81708056,26.69251705,183169.1379,255,NaN,NaN
MAR55S3C2R2_VLPAGR_20_o.png,7,4915,702.1428571,0.25598958,255,255,133.7589798,41.67848669,21.484172,108.8703084,0.49299629,0.78136737,45.302948,1240.142857,816.2857143,109.1745818,26.70035199,179046.4286,255,NaN,NaN
