 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,points
23,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,72,255,0,255,255,255,920.02777778,85.77777778,920.02777778,85.77777778,31.21320344,915,81,10,10,9.98270700,9.18320524,119.52965625,0.92867911,10.81665383,18360,255,NaN,NaN,100,18360,917,81,123.69006753,9.89949494,1.08706130,0.91991133,0.88343558,1
24,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,102,255,0,255,255,255,1111.33333333,89.20588235,1111.33333333,89.20588235,38.87005769,1105,83,12,13,13.30183908,9.76334421,122.51978615,0.84835899,14.42220510,26010,255,NaN,NaN,100,26010,1107,83,123.69006753,10.97590945,1.36242652,0.73398454,0.85355649,1
25,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,94,255,0,255,255,255,54.26595745,95.93617021,54.26595745,95.93617021,40.87005769,50,90,11,14,13.69799762,8.73737319,70.85591287,0.70717552,14.86606875,23970,255,NaN,NaN,100,23970,52,104,70.34617594,10.96322524,1.56774780,0.63785770,0.83555556,1
26,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,106,255,0,255,255,255,763.93396226,98.53773585,763.93396226,98.53773585,40.87005769,758,91,12,14,16.19253462,8.33491451,126.48509304,0.79745324,17.02938637,27030,255,NaN,NaN,100,27030,758,92,130.23635831,9.39148551,1.94273554,0.51473810,0.88702929,1
27,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,319,255,0,255,255,255,506.71316614,129.69749216,506.71316614,129.69749216,92.81118318,495,116,23,26,24.58568724,16.52031976,55.36540279,0.46537166,26.92582404,81345,255,NaN,NaN,100,81345,503,142,74.93151184,19.28886667,1.48820892,0.67194867,0.79949875,1
28,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,24,255,0,255,255,255,337.75000000,123.41666667,337.75000000,123.41666667,18.14213562,335,120,5,7,6.94776192,4.39821477,77.65641314,0.91631393,7.61577311,6120,255,NaN,NaN,100,6120,336,127,66.80140949,5.00000000,1.57967773,0.63304051,0.84210526,0
29,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,28,255,0,255,255,255,332.82142857,135.71428571,332.82142857,135.71428571,22.72792206,331,131,4,9,8.99482804,3.96346735,87.28215889,0.68115890,9.21954446,7140,255,NaN,NaN,100,7140,332,131,102.52880771,4.00000000,2.26943412,0.44063848,0.87500000,1
30,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,185,255,0,255,255,255,618.07297297,145.23513514,618.07297297,145.23513514,95.05382387,609,135,20,24,21.15073215,11.13669797,53.19822588,0.25730155,25.94224354,47175,255,NaN,NaN,100,47175,614,158,62.44718842,14.69955520,1.89919240,0.52653960,0.61157025,0
31,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,212,255,0,255,255,255,1139.09433962,148.19339623,1139.09433962,148.19339623,62.76955262,1130,139,18,18,17.92725745,15.05678067,120.24503073,0.67615717,19.84943324,54060,255,NaN,NaN,100,54060,1131,142,130.91438322,15.87644603,1.19064346,0.83988199,0.86178862,1
32,BKO-426-S42-Iba-Syn-Cortex-10x-F2a_XY1562195154_Z0_T0_C2.tiff8bit.pngcropped.pngNpt3.tifthrsh.png,107,255,0,255,255,255,44.67757009,149.01401869,44.67757009,149.01401869,40.28427125,39,141,11,15,13.69473413,9.94810341,93.90953994,0.82855743,15.13274595,27285,255,NaN,NaN,100,27285,44,141,97.59464337,11.00000000,1.37661759,0.72641815,0.86639676,1
